Champion ID,Champion Name,Win Rate
266,Aatrox,52.53
103,Ahri,51.45
84,Akali,48.27
166,Akshan,49.3
12,Alistar,46.93
32,Amumu,50
34,Anivia,53.28
1,Annie,53.57
523,Aphelios,44.82
22,Ashe,53.08
136,Aurelion Sol,48.53
268,Azir,47.3
432,Bard,52.7
53,Blitzcrank,50.09
63,Brand,50.94
201,Braum,50.32
51,Caitlyn,49.5
164,Camille,50.94
69,Cassiopeia,50.7
31,Cho'Gath,50.58
42,Corki,48.04
122,Darius,49.54
131,Diana,49.3
119,Draven,49.7
36,Dr.Mundo,54.7
245,Ekko,51.8
60,Elise,51.53
28,Evelynn,53.74
81,Ezreal,48.78
9,Fiddlesticks,46.84
114,Fiora,54.34
105,Fizz,51.98
3,Galio,51.31
41,Gangplank,53.03
86,Garen,49.66
150,Gnar,46.09
79,Gragas,50.4
104,Graves,52.26
887,Gwen,46.08
120,Hecarim,50.66
74,Heimerdinger,47.42
420,Illaoi,48.75
39,Irelia,46.09
427,Ivern,51.61
40,Janna,53.06
59,Jarvan IV,49.07
24,Jax,49.71
126,Jayce,48.13
202,Jhin,49.26
222,Jinx,50.66
145,Kai'Sa,49.8
429,Kalista,51.53
43,Karma,49.72
30,Karthus,49.53
38,Kassadin,49.91
55,Katarina,49.68
10,Kayle,51.25
141,Kayn,51.55
85,Kennen,49.22
121,Kha'Zix,51.66
203,Kindred,54.03
240,Kled,52.39
96,Kog'Maw,53.89
7,LeBlanc,51.16
64,Lee Sin,49
89,Leona,50.09
876,Lillia,50
127,Lissandra,47.59
236,Lucian,51.8
117,Lulu,49.92
99,Lux,47.03
54,Malphite,42.94
90,Malzahar,44.62
57,Maokai,53.41
11,Master Yi,44.76
21,Miss Fortune,48.58
62,Wukong,50.7
82,Mordekaiser,47.26
25,Morgana,49.66
267,Nami,48.13
75,Nasus,49.39
111,Nautilus,51.26
518,Neeko,48.33
76,Nidalee,49.92
56,Nocturne,54.48
20,Nunu & Willimp,44.02
2,Olaf,49.56
61,Orianna,48.23
516,Ornn,48.08
80,Pantheon,55.17
78,Poppy,50.86
555,Pyke,47.63
246,Qiyana,53.22
133,Quinn,55.95
497,Rakan,50.6
33,Rammus,50
421,Rek'Sai,54.51
526,Rell,51.45
888,Renata Glasc,53.76
58,Renekton,46.6
107,Rengar,51.44
92,Riven,49.28
68,Rumble,52.7
13,Ryze,44.92
360,Samira,49.5
113,Sejuani,51.69
235,Senna,52.5
147,Seraphine,50.77
875,Sett,50
35,Shaco,54.36
98,Shen,55.13
102,Shyvana,47.95
27,Singed,55.3
14,Sion,47.15
15,Sivir,48.12
72,Skarner,42.19
37,Sona,52.96
16,Soraka,50.18
50,Swain,54.55
517,Sylas,52.32
134,Syndra,50.16
223,Tahm Kench,52.48
163,Taliyah,50.48
91,Talon,52.26
44,Taric,48.94
17,Teemo,52.66
412,Thresh,47.62
18,Tristana,51.32
48,Trundle,47.19
23,Tryndamere,50.13
4,Twisted Fate,52.4
29,Twitch,50.78
77,Udyr,46.81
6,Urgot,44.73
110,Varus,44.93
67,Vayne,50.85
45,Veigar,49.5
161,Vel'koz,50
711,Vex,49.15
254,Vi,46.11
234,Viego,47.75
112,Viktor,49.03
8,Vladimir,48.16
106,Volibear,52.57
19,Warwick,46.32
498,Xayah,49.75
101,Xerath,44.85
5,Xin Zhao,47.01
157,Yasuo,51.36
777,Yone,48.21
83,Yorick,49.15
350,Yuumi,46.92
154,Zac,49.05
238,Zed,53.98
221,Zeri,49.59
115,Ziggs,53.02
26,Zilean,49.91
142,Zoe,53.28
143,Zyra,51.88
